page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  74   264 image     271    42  rgb     3   8  image  no      4736  0   116   116 1493B 4.4%
  74   265 image     141   109  rgb     3   8  image  no      4735  0   116   116 2282B 4.9%
  76   266 image     131   119  rgb     3   8  image  no      4739  0   116   116 6369B  14%
  76   267 image     131   119  rgb     3   8  image  no      4739  0   116   116 6369B  14%
  76   268 image     125   140  rgb     3   8  image  no      4740  0   116   116 4320B 8.2%
  76   269 image     125   140  rgb     3   8  image  no      4740  0   116   116 4320B 8.2%
  77   270 image     111    83  rgb     3   8  image  no      4741  0   116   116  697B 2.5%
  77   271 image     111    83  rgb     3   8  image  no      4741  0   116   116  697B 2.5%
  79   272 image     668    50  rgb     3   8  image  no      4742  0   116   116 4499B 4.5%
  80   273 image     695    51  rgb     3   8  image  no      4743  0   116   116 4544B 4.3%
  80   274 image     721    58  rgb     3   8  image  no      4744  0   116   116 3603B 2.9%
  82   275 image     335   109  rgb     3   8  image  no      4745  0   116   116 2177B 2.0%
  82   276 image     311   109  rgb     3   8  image  no      4746  0   116   116 1999B 2.0%
  82   277 image      22    36  rgb     3   8  jpeg   no      4747  0   116   116  881B  37%
  82   278 image      22    36  rgb     3   8  jpeg   no      4747  0   116   116  881B  37%
  82   279 image      20    36  rgb     3   8  jpeg   no      4748  0   116   116  746B  35%
  82   280 image      20    36  rgb     3   8  jpeg   no      4748  0   116   116  746B  35%
  82   281 image      20    38  rgb     3   8  jpeg   no      4749  0   116   116  886B  39%
  83   282 image      20    38  rgb     3   8  jpeg   no      4750  0   116   116  886B  39%
  83   283 image      23    37  rgb     3   8  jpeg   no      4751  0   116   116  952B  37%
  83   284 image      23    37  rgb     3   8  jpeg   no      4751  0   116   116  952B  37%
  83   285 image     345    71  rgb     3   8  image  no      4752  0   116   116 2127B 2.9%
  83   286 image     414    73  rgb     3   8  image  no      4753  0   116   116 2329B 2.6%
  83   287 image      99    36  rgb     3   8  image  no      4754  0   116   116  538B 5.0%
  83   288 image      99    36  rgb     3   8  image  no      4754  0   116   116  538B 5.0%
  83   289 image     101    39  rgb     3   8  image  no      4755  0   116   116  548B 4.6%
  83   290 image     101    39  rgb     3   8  image  no      4755  0   116   116  548B 4.6%
  83   291 image      99    41  rgb     3   8  image  no      4756  0   116   116  575B 4.7%
  83   292 image      99    41  rgb     3   8  image  no      4756  0   116   116  575B 4.7%
  83   293 image     352    71  rgb     3   8  image  no      4757  0   116   116 2431B 3.2%
  84   294 image     369    74  rgb     3   8  image  no      4758  0   116   116 2316B 2.8%
  84   295 image     101    31  rgb     3   8  jpeg   no      4759  0   116   116 2234B  24%
  84   296 image     101    31  rgb     3   8  jpeg   no      4759  0   116   116 2234B  24%
  84   297 image     103    30  rgb     3   8  jpeg   no      4760  0   116   116 2308B  25%
  84   298 image     103    30  rgb     3   8  jpeg   no      4760  0   116   116 2308B  25%
  84   299 image     101    29  rgb     3   8  jpeg   no      4761  0   116   116 2091B  24%
  84   300 image     101    29  rgb     3   8  jpeg   no      4761  0   116   116 2091B  24%
  84   301 image      99    32  rgb     3   8  jpeg   no      4762  0   116   116 2090B  22%
  84   302 image      99    32  rgb     3   8  jpeg   no      4762  0   116   116 2090B  22%
  90   303 image     638   466  rgb     3   8  jpeg   no      4766  0   762   763 18.4K 2.1%
  90   304 image       1     1  rgb     3   8  image  no      4767  0   115   115   11B 367%
  90   305 smask       1     1  gray    1   8  image  no      4767  0   115   115    9B 900%
  90   306 image       1     1  rgb     3   8  image  no      4767  0   115   115   11B 367%
  90   307 smask       1     1  gray    1   8  image  no      4767  0   115   115    9B 900%
  90   308 image       1     1  rgb     3   8  image  no      4767  0   115   115   11B 367%
  90   309 smask       1     1  gray    1   8  image  no      4767  0   115   115    9B 900%
  90   310 image       1     1  rgb     3   8  image  no      4767  0   115   115   11B 367%
  90   311 smask       1     1  gray    1   8  image  no      4767  0   115   115    9B 900%
  90   312 image       1     1  rgb     3   8  image  no      4767  0   115   115   11B 367%
  90   313 smask       1     1  gray    1   8  image  no      4767  0   115   115    9B 900%
  90   314 image     601    63  rgb     3   8  jpeg   no      4768  0   115   115 17.3K  16%
  90   315 image     678    52  rgb     3   8  jpeg   no      4769  0   115   115 10.2K  10%
 100   316 image     108    27  rgb     3   8  image  no      4776  0   115   115  418B 4.8%
 100   317 image     108    27  rgb     3   8  image  no      4776  0   115   115  418B 4.8%
 100   318 image     110    25  rgb     3   8  image  no      4777  0   115   115  467B 5.7%
 100   319 image     110    25  rgb     3   8  image  no      4777  0   115   115  467B 5.7%
 100   320 image     121    22  rgb     3   8  image  no      4778  0   115   115  421B 5.3%
 100   321 image     121    22  rgb     3   8  image  no      4778  0   115   115  421B 5.3%
 100   322 image     111    23  rgb     3   8  image  no      4779  0   115   115  497B 6.5%
 100   323 image     111    23  rgb     3   8  image  no      4779  0   115   115  497B 6.5%
 102   324 image     562    46  rgb     3   8  image  no      4780  0   115   115 2759B 3.6%
 102   325 image     541    54  rgb     3   8  image  no      4781  0   115   115 2768B 3.2%
 102   326 image      68    22  rgb     3   8  image  no      4782  0   115   115  306B 6.8%
 102   327 image      68    22  rgb     3   8  image  no      4782  0   115   115  306B 6.8%
 102   328 image      68    18  rgb     3   8  image  no      4783  0   115   115  323B 8.8%
 102   329 image      68    18  rgb     3   8  image  no      4783  0   115   115  323B 8.8%
 102   330 image      76    24  rgb     3   8  image  no      4784  0   115   115  348B 6.4%
 103   331 image      76    24  rgb     3   8  image  no      4785  0   115   115  348B 6.4%
 103   332 image      67    22  rgb     3   8  image  no      4786  0   115   115  332B 7.5%
 103   333 image      67    22  rgb     3   8  image  no      4786  0   115   115  332B 7.5%
 103   334 image      39    21  rgb     3   8  image  no      4787  0   115   115  187B 7.6%
 103   335 image      39    21  rgb     3   8  image  no      4787  0   115   115  187B 7.6%
 103   336 image      39    21  rgb     3   8  image  no      4788  0   115   115  174B 7.1%
 103   337 image      39    21  rgb     3   8  image  no      4788  0   115   115  174B 7.1%
 103   338 image      21    19  rgb     3   8  image  no      4789  0   115   115  137B  11%
 103   339 image      21    19  rgb     3   8  image  no      4789  0   115   115  137B  11%
 103   340 image      16    17  rgb     3   8  image  no      4790  0   115   115   93B  11%
 104   341 image      16    17  rgb     3   8  image  no      4791  0   115   115   93B  11%
 106   342 image     392   159  rgb     3   8  image  no      4792  0   115   115 5520B 3.0%
 107   343 image     393   164  rgb     3   8  image  no      4793  0   115   115 5358B 2.8%
 109   344 image     584    37  rgb     3   8  image  no      4794  0   115   115 2862B 4.4%
